Symbol,StartTime,EndTime,"Trades Timestamp","Trades Quantity","Trades Price","Trades Exchange","Trades MarketCenter","Trades SubMarketCenter","Trades TRDI","Trades CanceledIndicator","Trades DOTT","Trades ITY","Trades MSN","Trades OMSN",Outcome,Message,Identity,Delay,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:29.290",100,23.92,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,52840,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:38.010",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,53379,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:41:33.227",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,57602,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:09.327",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,60085,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:09.390",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,60088,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:09.390",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,60089,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:09.390",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,60090,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:09.853",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,60132,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:09.857",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,60133,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:09.857",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,60134,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:12.370",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,60378,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:29.687",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,61841,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:42:48.857",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,63224,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:43:20.033",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,65527,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:43:20.033",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,65528,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:43:53.397",200,23.96,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,67566,0,Success,,Cookie,0.0312,
